image,layer,mean,sd,roughness_Ra,roughness_Ra1
Resized_16_0120.tif,ilm - isos,29.88623,40.81186,30.14118,1.00853
Resized_16_0121.tif,ilm - isos,10.41852,5.15544,3.88075,0.37249
Resized_16_0126.tif,ilm - isos,55.06230,75.61637,59.87488,1.08740
Resized_16_0127.tif,ilm - isos,10.73213,5.51827,4.05425,0.37777
Resized_16_0128.tif,ilm - isos,11.05213,5.21851,4.16947,0.37725
Resized_16_0132.tif,ilm - isos,60.93557,86.32369,72.20798,1.18499
Resized_16_0134.tif,ilm - isos,11.43016,5.10094,4.07821,0.35679
Resized_16_0135.tif,ilm - isos,12.15607,6.74460,5.38888,0.44331
Resized_16_0136.tif,ilm - isos,12.50541,6.89914,5.39858,0.43170
Resized_16_0137.tif,ilm - isos,11.18656,5.08014,4.15241,0.37120
Resized_16_0138.tif,ilm - isos,11.91393,6.52843,4.92804,0.41364
Resized_16_0139.tif,ilm - isos,11.14754,4.89773,3.89310,0.34923
Resized_16_0140.tif,ilm - isos,11.72590,5.86401,4.30904,0.36748
Resized_16_0142.tif,ilm - isos,11.08262,5.80014,4.39018,0.39613
Resized_16_0143.tif,ilm - isos,35.58623,52.76561,39.52207,1.11060
Resized_16_0144.tif,ilm - isos,11.42033,5.95323,4.43164,0.38805
Resized_16_0148.tif,ilm - isos,16.39213,15.01521,9.77643,0.59641
Resized_16_0149.tif,ilm - isos,249.96443,189.07033,177.43255,0.70983
Resized_16_0150.tif,ilm - isos,11.09836,5.71139,4.44887,0.40086
Resized_16_0152.tif,ilm - isos,15.74689,12.85232,8.50924,0.54038
Resized_16_0154.tif,ilm - isos,10.84180,5.06065,3.91045,0.36068
Resized_16_0155.tif,ilm - isos,9.88328,4.60641,3.55999,0.36020
Resized_16_0158.tif,ilm - isos,11.63820,5.62926,4.58339,0.39382
Resized_16_0162.tif,ilm - isos,21.59672,28.77014,17.66573,0.81798
Resized_16_0165.tif,ilm - isos,11.39770,5.41517,4.21060,0.36943
Resized_16_0166.tif,ilm - isos,10.74262,4.83378,3.94883,0.36759
Resized_16_0167.tif,ilm - isos,10.94951,5.32290,4.10115,0.37455
Resized_16_0168.tif,ilm - isos,11.86934,5.17249,4.13318,0.34822
Resized_16_0169.tif,ilm - isos,11.38721,5.53827,4.10641,0.36062
Resized_16_0171.tif,ilm - isos,10.85344,4.95775,4.10893,0.37858
Resized_16_0172.tif,ilm - isos,11.82607,5.45546,4.50266,0.38074
Resized_16_0173.tif,ilm - isos,11.61311,6.24389,4.65283,0.40065
Resized_16_0174.tif,ilm - isos,242.32213,174.73318,157.76237,0.65104
Resized_16_0175.tif,ilm - isos,10.80279,4.82682,3.93017,0.36381
Resized_16_0176.tif,ilm - isos,11.31934,4.86192,3.94307,0.34835
Resized_16_0177.tif,ilm - isos,10.87033,5.30522,4.21188,0.38747
Resized_16_0178.tif,ilm - isos,9.96426,4.49408,3.50303,0.35156
Resized_16_0180.tif,ilm - isos,10.59967,4.60437,3.77987,0.35660
Resized_16_0181.tif,ilm - isos,11.02689,5.05428,4.14535,0.37593
Resized_16_0182.tif,ilm - isos,12.23541,11.01017,6.06107,0.49537
Resized_16_0183.tif,ilm - isos,10.59803,4.70891,3.85677,0.36391
Resized_16_0186.tif,ilm - isos,10.83148,5.77263,4.30574,0.39752
Resized_16_0187.tif,ilm - isos,10.78180,4.83101,3.87963,0.35983
Resized_16_0189.tif,ilm - isos,10.99361,5.43085,4.20918,0.38288
Resized_16_0192.tif,ilm - isos,10.81049,4.75063,3.87547,0.35849
Resized_16_0193.tif,ilm - isos,14.24721,13.21373,8.47075,0.59455
Resized_16_0194.tif,ilm - isos,10.10377,4.20786,3.34970,0.33153
Resized_16_0196.tif,ilm - isos,23.54148,30.92058,19.06523,0.80986
Resized_16_0197.tif,ilm - isos,10.13803,4.58627,3.58604,0.35372
Resized_16_0198.tif,ilm - isos,11.40279,6.08632,4.47347,0.39231
Resized_16_0200.tif,ilm - isos,9.07934,3.78231,2.93302,0.32304
Resized_16_0201.tif,ilm - isos,10.88377,5.66931,4.27351,0.39265
Resized_16_0202.tif,ilm - isos,10.12164,4.69142,3.54618,0.35036
Resized_16_0203.tif,ilm - isos,10.53033,4.77652,3.79157,0.36006
Resized_16_0204.tif,ilm - isos,10.79426,5.57750,4.05818,0.37596
Resized_16_0205.tif,ilm - isos,10.87475,5.67298,4.35766,0.40071
Resized_16_0207.tif,ilm - isos,9.91344,4.73904,3.57860,0.36098
Resized_16_0208.tif,ilm - isos,192.03639,193.06882,181.93391,0.94739
Resized_16_0209.tif,ilm - isos,9.64787,4.35014,3.38758,0.35112
Resized_16_0210.tif,ilm - isos,10.24393,4.80229,3.83845,0.37470
Resized_16_0212.tif,ilm - isos,10.40098,5.36858,4.08980,0.39321
Resized_16_0215.tif,ilm - isos,10.15311,4.28301,3.47065,0.34183
Resized_16_0216.tif,ilm - isos,9.84213,4.39717,3.51230,0.35686
Resized_16_0218.tif,ilm - isos,10.60885,5.87617,4.29048,0.40442
Resized_16_0219.tif,ilm - isos,10.67115,5.04124,4.02328,0.37702
Resized_16_0221.tif,ilm - isos,11.52115,6.85959,4.93124,0.42802
Resized_16_0222.tif,ilm - isos,10.20525,4.26471,3.45475,0.33853
Resized_16_0223.tif,ilm - isos,10.02082,4.60896,3.58637,0.35789
Resized_16_0224.tif,ilm - isos,38.78344,59.92794,44.13298,1.13793
Resized_16_0225.tif,ilm - isos,135.36279,173.86530,151.35965,1.11818
Resized_16_0226.tif,ilm - isos,10.53164,4.96508,3.87882,0.36830
Resized_16_0227.tif,ilm - isos,10.27623,4.81692,3.81600,0.37134
Resized_16_0228.tif,ilm - isos,10.15443,4.64261,3.63721,0.35819
Resized_16_0230.tif,ilm - isos,9.73131,4.15779,3.33291,0.34249
Resized_16_0231.tif,ilm - isos,9.63230,4.07119,3.16698,0.32879
Resized_16_0233.tif,ilm - isos,58.39787,92.07566,73.38111,1.25657
Resized_16_0234.tif,ilm - isos,9.43705,3.66253,3.00237,0.31815
Resized_16_0235.tif,ilm - isos,10.27033,4.97189,3.78061,0.36811
Resized_16_0236.tif,ilm - isos,9.82393,4.55724,3.43724,0.34988
Resized_16_0237.tif,ilm - isos,10.05836,4.46159,3.51372,0.34933
Resized_16_0238.tif,ilm - isos,9.92508,4.08675,3.40922,0.34350
Resized_16_0239.tif,ilm - isos,10.03377,4.58369,3.53759,0.35257
Resized_16_0240.tif,ilm - isos,10.75033,4.99773,4.07760,0.37930
Resized_16_0241.tif,ilm - isos,10.06525,4.82676,3.65572,0.36320
Resized_16_0242.tif,ilm - isos,10.44820,5.55124,3.99716,0.38257
Resized_16_0243.tif,ilm - isos,11.28131,6.67975,4.61043,0.40868
Resized_16_0244.tif,ilm - isos,11.14574,6.44275,4.65647,0.41778
Resized_16_0245.tif,ilm - isos,11.26656,5.11024,4.00095,0.35512
Resized_16_0246.tif,ilm - isos,11.04918,5.46151,4.19892,0.38002
Resized_16_0248.tif,ilm - isos,10.71869,5.58691,4.07715,0.38038
